id,tresc
1,"Pokój był czysty, ale widok z okna na śmietnik to lekka przesada. Obsługa uśmiechnięta, szkoda tylko, że zameldowanie trwało godzinę. Śniadanie smaczne, choć kawa smakowała jak woda po płukaniu skarpet."
2,"Kelner przyniósł zupę, która była zimniejsza niż moje serce po rozstaniu. Drugie danie uratowało sytuację, bo kaczka była wyśmienita. Mimo wszystko, za tę cenę spodziewałem się fajerwerków, a dostałem zimne ognie."
3,"Nowa aktualizacja systemu to prawdziwy majstersztyk, jeśli celem było spowolnienie telefonu o połowę. Grafika wygląda ładnie, ale bateria znika w oczach. Brawo dla programistów za kreatywne psucie tego, co działało."
4,"Widziałeś wizytówkę Marcina? Ten papier to chyba czerpana kość słoniowa, a czcionka... mój Boże, to Silian Rail. Nie mogę oddychać, kiedy patrzę na to idealne wytłoczenie, podczas gdy moja leży zapomniana w kieszeni."
5,"Zamówiłem buty w rozmiarze 42, a dostałem dwa lewe w rozmiarze 44. Proces zwrotu to droga przez mękę, infolinia milczy jak zaklęta. Jedyny plus to szybka dostawa tego błędu."
6,"Film trwał trzy godziny i czułem każdą minutę tego 'dzieła sztuki'. Reżyser chyba zapomniał, że fabuła powinna mieć sens, a nie tylko ładne ujęcia. Wizualnie majstersztyk, scenariuszowo katastrofa."
7,"Szef znowu zorganizował spotkanie, które mogło być e-mailem. Zmarnowaliśmy dwie godziny na omawianie koloru logo, a projekt leży odłogiem. Uwielbiam tę korporacyjną wydajność."
8,"Cudownie, znowu pada deszcz, właśnie tego potrzebowałem na urlopie. Przemoczone buty i brak słońca to definicja udanego wypoczynku w górach. Przynajmniej powietrze jest świeże."
9,"Samochód prowadzi się świetnie, silnik mruczy jak kotek. Szkoda tylko, że pali tyle, co mała elektrownia. Komfort jazdy wynagradza jednak te wizyty na stacji."
10,"Książka leżała na stole, okładka była nieco zagięta. Przeczytałem pierwsze trzy rozdziały i styl autora jest dość specyficzny, pełen dygresji. Zobaczymy, jak rozwinie się akcja w drugiej połowie."
11,"Nie rozumiem zachwytu nad tą restauracją, jedzenie jest po prostu poprawne. Wszyscy moi znajomi o niej mówią, jakby to było objawienie kulinarne. Może po prostu nie mam gustu, albo oni ulegli modzie."
12,"Muszę zwrócić te kasety wideo, chociaż i tak nikt już ich nie ogląda. Wypożyczalnia jest pusta, pachnie kurzem i nostalgią lat dziewięćdziesiątych. Lubię ten spokój, zanim wrócę do hałasu miasta."
13,"Ten hotel to definicja luksusu z lat osiemdziesiątych, który zapomniał o remoncie. Złote klamki są wytarte, a dywany pamiętają lepsze czasy. Ma to swój urok, jeśli lubisz klimat horroru."
14,"Kupiłem ten zegarek, bo miał być wodoodporny. Okazało się, że nie przetrwał mycia rąk. Wygląda na to, że 'wodoodporność' to tylko chwyt marketingowy dla naiwniaków takich jak ja."
15,"Jutro poniedziałek, a ja wciąż nie zrobiłem prezentacji. Stres mnie zjada, ale zamiast pracować, oglądam śmieszne koty w internecie. Prokrastynacja to jednak potężna siła."
16,"Zupa była za słona, ale kelnerka tak miła, że nie miałem serca narzekać. Dostałem deser na koszt firmy, co znacznie poprawiło moją ocenę tego miejsca. Czasem uśmiech znaczy więcej niż idealne danie."
17,"Patrzę na ten nowy apartamentowiec Paula Allena i czuję, jak skręca mnie w żołądku. Widok na park jest absolutnie nieskazitelny, o wiele lepszy niż z mojego tarasu. Muszę wyjść, zanim zacznę krzyczeć."
18,"Przesyłka dotarła dzień przed czasem, co było miłym zaskoczeniem. Niestety w środku był inny kolor niż zamawiałem, ale w sumie ten też mi się podoba. Nie będę robił afery."
19,"Wizyta u dentysty to zawsze przyjemność, zwłaszcza gdy słyszysz dźwięk wiertła. Nie czułem bólu dzięki znieczuleniu, ale mój portfel zabolało bardzo mocno. Przynajmniej mam zęby z głowy na rok."
20,"Pogoda jest dziś tak niezdecydowana jak ja w sklepie z butami. Raz słońce, raz gradobicie, nie wiadomo, czy brać okulary czy parasol. Zostańmy po prostu w domu."
