id,tresc
1,"Łóżko było bardzo wygodne, a obsługa przemiła. Śniadania to absolutne mistrzostwo świata! Na pewno tu wrócimy."
2,"Niestety w łazience śmierdziało wilgocią, a pan w recepcji zachowywał się, jakby pracował tam za karę. Nie polecam."
3,"Hotel znajduje się blisko centrum, co jest plusem, ale hałas z ulicy nie pozwalał spać w nocy. Standard adekwatny do ceny."
4,"Pizza była spalona, a na zamówienie czekaliśmy prawie godzinę. Nigdy więcej tam nie zjem."
5,"Najlepsze sushi w mieście! Ryba świeża, ryż idealnie doprawiony. Kelnerka bardzo pomocna."
6,"Jedzenie poprawne, ale porcje dość małe jak na tę cenę. Wystrój lokalu całkiem przyjemny."
7,"Spójrz na ten subtelny odcień bieli. Gustowna grubość. O boże, ma nawet znak wodny... Nie mogę uwierzyć, że Bryce woli wizytówkę Van Pattena od mojej."
8,"Jutro ma padać deszcz, więc chyba odpuszczę spacer i zostanę w domu z książką."
9,"Nareszcie piątek! Tydzień był ciężki, ale wizja weekendu od razu poprawia mi humor."
10,"Mój stary laptop znowu się zawiesił w trakcie aktualizacji, mam ochotę wyrzucić go przez okno."
