id,tresc,ROBERTA_label,ROBERTA_score,ROBERTA_time_sec,HERBERT_label,HERBERT_score,HERBERT_time_sec
1,"Pokój był czysty, ale widok z okna na śmietnik to lekka przesada. Obsługa uśmiechnięta, szkoda tylko, że zameldowanie trwało godzinę. Śniadanie smaczne, choć kawa smakowała jak woda po płukaniu skarpet.",positive,0.5195688605308533,0.09408440000000162,positive,0.994482159614563,0.07560349999999971
2,"Kelner przyniósł zupę, która była zimniejsza niż moje serce po rozstaniu. Drugie danie uratowało sytuację, bo kaczka była wyśmienita. Mimo wszystko, za tę cenę spodziewałem się fajerwerków, a dostałem zimne ognie.",positive,0.5906238555908203,0.08857040000000005,neutral,0.5476944446563721,0.08505070000000003
3,"Nowa aktualizacja systemu to prawdziwy majstersztyk, jeśli celem było spowolnienie telefonu o połowę. Grafika wygląda ładnie, ale bateria znika w oczach. Brawo dla programistów za kreatywne psucie tego, co działało.",positive,0.8837167620658875,0.09070999999999962,negative,0.860686182975769,0.08386000000000138
4,"Widziałeś wizytówkę Marcina? Ten papier to chyba czerpana kość słoniowa, a czcionka... mój Boże, to Silian Rail. Nie mogę oddychać, kiedy patrzę na to idealne wytłoczenie, podczas gdy moja leży zapomniana w kieszeni.",positive,0.4433416426181793,0.09427310000000055,negative,0.5797962546348572,0.08380499999999991
5,"Zamówiłem buty w rozmiarze 42, a dostałem dwa lewe w rozmiarze 44. Proces zwrotu to droga przez mękę, infolinia milczy jak zaklęta. Jedyny plus to szybka dostawa tego błędu.",negative,0.9035615921020508,0.08405310000000021,negative,0.9645383358001709,0.08291019999999882
6,"Film trwał trzy godziny i czułem każdą minutę tego 'dzieła sztuki'. Reżyser chyba zapomniał, że fabuła powinna mieć sens, a nie tylko ładne ujęcia. Wizualnie majstersztyk, scenariuszowo katastrofa.",negative,0.7201510667800903,0.08448630000000001,negative,0.9908328652381897,0.08047419999999939
7,"Szef znowu zorganizował spotkanie, które mogło być e-mailem. Zmarnowaliśmy dwie godziny na omawianie koloru logo, a projekt leży odłogiem. Uwielbiam tę korporacyjną wydajność.",positive,0.8441302180290222,0.08319209999999977,negative,0.8277273774147034,0.07754019999999961
8,"Cudownie, znowu pada deszcz, właśnie tego potrzebowałem na urlopie. Przemoczone buty i brak słońca to definicja udanego wypoczynku w górach. Przynajmniej powietrze jest świeże.",positive,0.8689734935760498,0.07954349999999977,positive,0.9973552227020264,0.06556549999999994
9,"Samochód prowadzi się świetnie, silnik mruczy jak kotek. Szkoda tylko, że pali tyle, co mała elektrownia. Komfort jazdy wynagradza jednak te wizyty na stacji.",positive,0.6350687146186829,0.08406090000000077,positive,0.9992883801460266,0.07689549999999912
10,"Książka leżała na stole, okładka była nieco zagięta. Przeczytałem pierwsze trzy rozdziały i styl autora jest dość specyficzny, pełen dygresji. Zobaczymy, jak rozwinie się akcja w drugiej połowie.",positive,0.7302021980285645,0.08193870000000025,positive,0.8047010898590088,0.07963479999999912
11,"Nie rozumiem zachwytu nad tą restauracją, jedzenie jest po prostu poprawne. Wszyscy moi znajomi o niej mówią, jakby to było objawienie kulinarne. Może po prostu nie mam gustu, albo oni ulegli modzie.",negative,0.9219666123390198,0.08117410000000014,positive,0.9774975180625916,0.09292359999999888
12,"Muszę zwrócić te kasety wideo, chociaż i tak nikt już ich nie ogląda. Wypożyczalnia jest pusta, pachnie kurzem i nostalgią lat dziewięćdziesiątych. Lubię ten spokój, zanim wrócę do hałasu miasta.",positive,0.47465574741363525,0.09611249999999849,neutral,0.5482620000839233,0.097570300000001
13,"Ten hotel to definicja luksusu z lat osiemdziesiątych, który zapomniał o remoncie. Złote klamki są wytarte, a dywany pamiętają lepsze czasy. Ma to swój urok, jeśli lubisz klimat horroru.",positive,0.7018530368804932,0.08694929999999879,negative,0.8399532437324524,0.12456989999999912
14,"Kupiłem ten zegarek, bo miał być wodoodporny. Okazało się, że nie przetrwał mycia rąk. Wygląda na to, że 'wodoodporność' to tylko chwyt marketingowy dla naiwniaków takich jak ja.",negative,0.4312179982662201,0.08894410000000086,negative,0.8878785371780396,0.1250713999999995
15,"Jutro poniedziałek, a ja wciąż nie zrobiłem prezentacji. Stres mnie zjada, ale zamiast pracować, oglądam śmieszne koty w internecie. Prokrastynacja to jednak potężna siła.",negative,0.6870642304420471,0.08078059999999887,neutral,0.5303839445114136,0.07368459999999999
16,"Zupa była za słona, ale kelnerka tak miła, że nie miałem serca narzekać. Dostałem deser na koszt firmy, co znacznie poprawiło moją ocenę tego miejsca. Czasem uśmiech znaczy więcej niż idealne danie.",positive,0.889423668384552,0.08731060000000035,positive,0.9972309470176697,0.06302080000000032
17,"Patrzę na ten nowy apartamentowiec Paula Allena i czuję, jak skręca mnie w żołądku. Widok na park jest absolutnie nieskazitelny, o wiele lepszy niż z mojego tarasu. Muszę wyjść, zanim zacznę krzyczeć.",positive,0.8620907664299011,0.08685849999999995,positive,0.9931855201721191,0.08412380000000041
18,"Przesyłka dotarła dzień przed czasem, co było miłym zaskoczeniem. Niestety w środku był inny kolor niż zamawiałem, ale w sumie ten też mi się podoba. Nie będę robił afery.",positive,0.9037763476371765,0.07549350000000032,positive,0.7158861756324768,0.08936059999999912
19,"Wizyta u dentysty to zawsze przyjemność, zwłaszcza gdy słyszysz dźwięk wiertła. Nie czułem bólu dzięki znieczuleniu, ale mój portfel zabolało bardzo mocno. Przynajmniej mam zęby z głowy na rok.",positive,0.7909462451934814,0.08714070000000085,positive,0.919368326663971,0.10723319999999958
20,"Pogoda jest dziś tak niezdecydowana jak ja w sklepie z butami. Raz słońce, raz gradobicie, nie wiadomo, czy brać okulary czy parasol. Zostańmy po prostu w domu.",negative,0.8181183338165283,0.091186200000001,neutral,0.647867739200592,0.09962340000000047
