Model;File;Language;Time (s);Transcription;Original;WER;CER;SER
base;Audio_1.m4a;pl;2.66;Podanych nad ozdą był chłotny i cichę, a pierwszy to mnie słynca nie śmiało przyzileleć w prezydem głęb, naszącą się nadparkę szczytnickiej wyrosawiu. Powietrze pachniałam w Wielkotną ziemią i świeżo skoszoną dawą z Alei w Szyulisym Iskiewicza. Ludzie spieszyli się do plasy, anka skutkiem kawy z Kawiadenki Łubasii, domyks oczami wypełnili w ekran telefonu, w inny rozwyszążyć nad na wojnidzie 9. Na ławce pod staden dembym zwaną przez okolicznych dembym Jagiełły, siedział pan Madem Kowalskich, który karmik ułępie tak jak dobyt każdego dnia od wielu lat. Paszły na przechodniu z zekim u śmiejem, aby wiedział co o szczegóni jeszcze nie odgryli.;Poranek nad Odrą był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierały się przez mgłę unoszącą się nad Parkiem Szczytnickim we Wrocławiu. Powietrze pachniało wilgotną ziemią i świeżo skoszoną trawą z alei przy ul. Mickiewicza. Ludzie spieszyli się do pracy — Anka z kubkiem kawy z „Kawiarenki u Basi”, Tomek z oczami wlepionymi w ekran telefonu, pilnując, by zdążyć na tramwaj linii 9. Na ławce pod starym dębem, zwanym przez okolicznych „Dębem Jagiełły”, siedział pan Marian Kowalski, który karmił gołębie tak, jak robił to każdego dnia od wielu lat. Patrzył na przechodniów z lekkim uśmiechem, jakby wiedział coś, czego oni jeszcze nie odkryli.;63.46;25.15;100.0
base;Audio_10.m4a;pl;3.88;Boże, że nas tutaj rozmoglę już nagrywać będzie można zaraz coś wyciąsi. WYGNEDA NIEKŁAZZ WYGNEDA NIEKŁAZZ TX-2 Nie, tak jeden akafit. Płodanech by chłodne i cichy, a twierdze ptami nieśmiałe, przeziebały się przynęgłe, uszącą się nad parkiem. Powietrze pochniało w izgotną zimą i świeżo skrzymuj się świeje. To już czy niebies flavour nieśmiałe.;Może z tej rozmowy, którą już nagrywać będzie można zaraz coś wyciąć i. Wygeneruj na przykład ludzkiego tekstu tak dwa, nie, tak jeden akapit. Poranek był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierały się przez mgłę unoszącą się nad parkiem. Powietrze pachniało wilgotną zimą i świeżo. Czemu się śmiejesz przy tym?;73.58;43.15;100.0
base;Audio_11.m4a;pl;2.71;Ona była harcerzka głównie z nazwy, ale po prostu harcerstwo miało wtedy przody, w związku z tym wydziadowało od Wojska jakąś rozgłośnie, która służyła do zagłuszenia wolnej Europy, jakąś radiostację prawda i amatorzko tam zrobili. A charakteryzowało się to tym, że troszkę nadawali wiadomości harcerzkich z etka, a trochę muzyki jak się wtedy mówiło Big Bitu, o którym się w Polsce słyszało dopiero, że pojawiały kasę, nie zmiadam jakie kasety. W inyle jakieś pojedyncze, to jak ktoś miał rodziców, którzy przybozili mu zagranicy, prezlej dopiero zaczynał karierę i tak dalej. I z upełnym przypadkiem w tej rozgłośni wziąłem, że tak pojem udział, mianowicie praktykantka, która miał tam w szkole lekcje, powiedział, to muś powie zgłością wierszyk, to muś powiedział wierszyk, powiedział bardzo fajnie, mówisz to przyjdzie do nas, no i tak się zaczęło. Oczywiście.;"Ona była harcerska głównie z nazwy, ale po prostu harcerstwo miało wtedy przody. W związku z tym wydziadowało od wojska jakąś rozgłośnię, która służyła do zagłuszania Wolnej Europy, jakąś radiostację, prawda? I amatorsko tam zrobili. A charakteryzowało się to tym, że troszkę nadawali wiadomości harcerskich ZHP, a trochę muzyki, jak się wtedy mówiło big bitu, o którym się w Polsce słyszało. Dopiero się pojawiały kase-- nie trzeba tam jakie kasety, winyle jakieś pojedyncze i to jak ktoś miał rodziców, którzy przywozili mu zza granicy. Presley dopiero zaczynał karierę i tak dalej. No i zupełnym przypadkiem w tej rozgłośni wziąłem, że tak powiem, udział. Mianowicie praktykantka, która miała tam w szkole lekcje, powiedziała: ""Tomuś, powiedz gościom wierszyk"". Tomuś powiedział wierszyk. Powiedziała: ""bardzo fajnie mówisz, to przyjdź do nas"". No i tak się zaczęło, yyy, oczywiście.";43.28;10.5;100.0
base;Audio_12.m4a;pl;0.99;Władno. Władno. No, nie. To nie odbrałem. Władno, to nie koszt. I w leitering jest coś... To jest silnę rejla. To jeszcze nic. To jest naprawdę piękne. Skoro pijajajaj. Czomka Rumalien. I jak? Władno.;Nowa wizytówka i jak? Ładnaaa, no no. Wczoraj odebrałem. Ładny odcień. Kość. Czcionka Silian Rail. To jeszcze nic, popatrz. Ta jest naprawdę piękna, skorupka jaja, czcionka Romalian i jak? Ładna;100.0;61.34;171.43
base;Audio_2.m4a;pl;0.64;Hej, Hej, Hej, Hej, Słyszyśmie. Halo! Głośnego muzyka nie węczy mi sobie hać, ale jak coś to nie będzie mi w to na wykładzie. To jest nasz uderstą.;Ej,ej , eeeeeeeeeeeeeeeeeeejjjjjjjjjjjjjjjjjjjjjjj, słyszysz mnie? HALLLLLOOOOOOOOOO Głośno gra muzyka i nie wiem czy mnie słychać ale jak coś to nie będzie mnie jutro na wykładzie. Daj znać jutro jak tam;70.0;51.96;150.0
base;Audio_3.m4a;pl;1.59;Dzisiaj na no to jest zespałem, bo budzicie nie włączył w stary. W pośpiaku odzowiece, szybko kawa i zdanie to właśnie, że nie on daka, więc musiałem pitczalą. W taż cześć o to, bo z mi nie uciek, ale był tak zatłoczony, że przez całą drogę stary, spysakiem wciśniętym, między dźwiaki, oświegłości, a z wiatrami i słuchawkami. W czasem od razu zaczęło się mailę i spotkane, więc zanim się obejrzałem, w binę o południe.;Dzisiaj rano prawie zaspałem, bo budzik się nie włączył. Wstałem w pośpiechu, zrobiłem sobie szybką kawę i zorientowałem się, że nie mam mleka, więc musiałem pić czarną. Na szczęście autobus mi nie uciekł, ale był tak zatłoczony, że przez całą drogę stałem z plecakiem wciśniętym między drzwi a jakiegoś gościa z wielkimi słuchawkami. W pracy od razu zaczęły się maile i spotkania, więc zanim się obejrzałem, minęło południe.;67.65;28.24;100.0
base;Audio_4.m4a;pl;0.84;Wczoraj po pracy poszedłem z ekipą napidcę. Bo wszyscy mieli już dość siedzenia przed komputerem. Pogadaliśmy o różnych rzeczach. Trochę o projektach, trochę o planach, nowikant. Fajnie było się pośmiacz i odesnąć od codziennego stres.;Wczoraj po pracy poszedłem z ekipą na pizzę, bo wszyscy mieli już dość siedzenia przed komputerem. Pogadaliśmy o różnych rzeczach — trochę o projektach, trochę o planach na weekend. Fajnie było się pośmiać i odetchnąć od codziennego stresu. Potem wróciłem do domu, odpaliłem serial i zanim się zorientowałem, była już prawie północ.;50.0;34.04;125.0
base;Audio_5.m4a;pl;0.9;Od rana nic mi nie szło. Kawa się dozlała, Pędra w sprezentacją znikną a internet działo jakby na złość. Mimo to jakoś dało się wszystko okrenoć przed spotkaniem. Po powodniu w końcu złapałem trochę lózu i poszedłem na spacer.;Od rana nic mi nie szło. Kawa się rozlała, pendrive z prezentacją zniknął, a internet działał jakby na złość. Mimo to jakoś udało się wszystko ogarnąć przed spotkaniem. Po południu w końcu złapałem trochę luzu i poszedłem na spacer. Świeże powietrze i muzyka w słuchawkach od razu poprawiły mi humor.;42.0;29.67;80.0
base;Audio_6.m4a;pl;0.82;W stanie zabuźno, kawa się skończyła, telefonę odwożyje, autowo rzeczywiście uciek. W pasu już czekam szal z miną jakby zaaskniał wybuchnął, więc ostatnie zdarzyłem usiąść. Zapięcę trzeba wszystko brzmić, to jest głowy.;Wstałem za późno, kawa się skończyła, telefon ledwo żyje, a autobus oczywiście uciekł. W pracy już czekał szef z miną jakby zaraz miał wybuchnąć, więc nawet nie zdążyłem usiąść. Zrobiłem, co trzeba, wszystko byle mieć to już z głowy.;66.67;25.32;100.0
base;Audio_7.m4a;pl;0.72;Zkubiłem klucza, potem jest nas w kudce, który w ogóle nie ponołem zakładać, lw to się zaktorizownego z tym momencie, a obiec przypaliłem, bo skoro ramnęmy, dzień nie chcą, dzień na wypadach wyczora.;Zgubiłem klucze, potem je znalazłem w kurtce, której w ogóle nie planowałem zakładać. Laptop się zaktualizował w najgorszym momencie, a obiad przypaliłem, bo scrollowałem memy. Dzień jak co dzień ale byle do wieczora;69.7;33.8;100.0
