Model;File;Language;Time (s);Transcription;Original;WER;CER;SER
scribe_v1;Audio_1.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_10.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_11.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_12.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_1_1.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_2.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_2_1.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_3.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_3_1.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_4.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_4_1.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_5.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_5_1.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_6.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_6_1.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
scribe_v1;Audio_7.m4a;pl;ERROR;"API Error 401: {""detail"":{""status"":""detected_unusual_activity"",""message"":""Unusual activity detected. Free Tier usage disabled. If you are using a proxy/VPN you might need to purchase a Paid Plan to not trigger our abuse detectors. Free Tier only works if users do not abuse it, for example by creating multiple free accounts. If we notice that many people try to abuse it, we will need to reconsider Free Tier altogether. \nPlease play fair and purchase any Paid Subscription to continue.""}}";;;;
